模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.2137846946716309,1.2137846946716309,3.2954773754847295,94
llama3.1-8b,3500,490 - 500,4,1.2077064514160156,1.2077064514160156,3.312063122052604,94
llama3.1-8b,3500,490 - 500,4,1.231964111328125,1.231964111328125,3.246847828779509,94
llama3.1-8b,3500,490 - 500,4,1.2528448104858398,1.2528448104858398,3.192733821876025,93
llama3.1-8b,3500,490 - 500,4,1.2098777294158936,1.2098777294158936,3.306119207542671,94
llama3.1-8b,3500,490 - 500,4,1.2183198928833008,1.2183198928833008,3.283209954434478,94
llama3.1-8b,3500,490 - 500,4,1.2105076313018799,1.2105076313018799,3.3043988295208595,94
llama3.1-8b,3500,490 - 500,8,1.2509214878082275,1.2509214878082275,6.395285457936302,92
llama3.1-8b,3500,490 - 500,8,1.3646974563598633,1.3646974563598633,5.8621051594386815,92
llama3.1-8b,3500,490 - 500,8,1.2546043395996094,1.2546043395996094,6.376512297536844,91
llama3.1-8b,3500,490 - 500,8,1.3299124240875244,1.3299124240875244,6.015433689544585,91
llama3.1-8b,3500,490 - 500,8,1.2854890823364258,1.2854890823364258,6.223312286293162,91
llama3.1-8b,3500,490 - 500,8,1.258436679840088,1.258436679840088,6.357093787997801,92
llama3.1-8b,3500,490 - 500,8,1.2888493537902832,1.2888493537902832,6.207086946564687,92
llama3.1-8b,3500,490 - 500,8,1.2458667755126953,1.2458667755126953,6.421232315716794,92
llama3.1-8b,3500,490 - 500,8,1.2506980895996094,1.2506980895996094,6.3964277762358055,92
llama3.1-8b,3500,490 - 500,8,1.2851061820983887,1.2851061820983887,6.225166535995633,92
llama3.1-8b,3500,490 - 500,8,1.24981689453125,1.24981689453125,6.400937637349221,92
llama3.1-8b,3500,490 - 500,8,1.250819444656372,1.250819444656372,6.395807191978678,91
llama3.1-8b,3500,490 - 500,8,1.2531695365905762,1.2531695365905762,6.383813016844572,91
llama3.1-8b,3500,490 - 500,8,1.3074755668640137,1.3074755668640137,6.118661184000583,92
llama3.1-8b,3500,490 - 500,8,1.2977690696716309,1.2977690696716309,6.164424925017058,92
llama3.1-8b,3500,490 - 500,8,1.2667994499206543,1.2667994499206543,6.315127465915049,92
llama3.1-8b,3500,490 - 500,8,1.2587308883666992,1.2587308883666992,6.355607917416422,91
llama3.1-8b,3500,490 - 500,8,1.2756001949310303,1.2756001949310303,6.271557523893721,91
llama3.1-8b,3500,490 - 500,8,1.2869770526885986,1.2869770526885986,6.2161170498629765,92
llama3.1-8b,3500,490 - 500,8,1.2888071537017822,1.2888071537017822,6.207290188467657,92
llama3.1-8b,3500,490 - 500,8,1.250309705734253,1.250309705734253,6.398414699421969,92
llama3.1-8b,3500,490 - 500,8,1.2728865146636963,1.2728865146636963,6.284927923927016,92
llama3.1-8b,3500,490 - 500,8,1.2807374000549316,1.2807374000549316,6.246401486875354,92
llama3.1-8b,3500,490 - 500,8,1.3658466339111328,1.3658466339111328,5.857172980755401,92
llama3.1-8b,3500,490 - 500,8,1.2723424434661865,1.2723424434661865,6.287615445890457,92
llama3.1-8b,3500,490 - 500,8,1.2729096412658691,1.2729096412658691,6.284813737481199,91
llama3.1-8b,3500,490 - 500,8,1.3020515441894531,1.3020515441894531,6.144150003662199,92
llama3.1-8b,3500,490 - 500,8,1.2545084953308105,1.2545084953308105,6.3769994621602155,92
llama3.1-8b,3500,490 - 500,8,1.2507579326629639,1.2507579326629639,6.3961217363357905,92
llama3.1-8b,3500,490 - 500,8,1.256216287612915,1.256216287612915,6.368330102773739,92
llama3.1-8b,3500,490 - 500,8,1.2522122859954834,1.2522122859954834,6.38869310696801,91
